Ano de referência;Unidade da Federação;Número de controle;Número de série;Tipo de entrevista;Total de moradores;Total de moradores de 10 anos ou mais;Tipo do domicílio;Número de cômodos do domicílio;Número de cômodos servindo de dormitório;Condição de ocupação do domicílio;Aluguel mensal pago no mês de referência;Prestação mensal paga no mês de referência;Tem acesso à Internet no próprio domicilio;Tem carro ou motocicleta de uso pessoal;Rendimento mensal domiciliar;Número de componentes do domícilio;Rendimento mensal domiciliar per capita
2015;Rondônia;11000058;008;Realizada;4;3;Casa;5;2;Alugado;650;0;2;4;3350;4;837
2015;Rondônia;11000163;001;Realizada;3;1;Casa;6;2;Próprio – já pago;0;0;4;4;1734;3;578
2015;Rondônia;11000210;019;Realizada;2;2;Casa;4;2;Próprio – já pago;0;0;4;4;1576;2;788
2015;Rondônia;11000341;015;Realizada;5;5;Casa;4;2;Próprio – já pago;0;0;4;2;3427;5;685
2015;Rondônia;11000422;006;Realizada;3;2;Casa;5;2;Próprio – já pago;0;0;4;4;900;3;300
2015;Rondônia;11000660;011;Realizada;2;2;Casa;5;1;Próprio – já pago;0;0;2;2;2350;2;1175
2015;Rondônia;11000678;008;Realizada;4;3;Casa;6;2;Próprio – já pago;0;0;2;6;2518;4;629
2015;Rondônia;11000775;001;Realizada;4;4;Casa;7;3;Próprio – já pago;0;0;4;2;7988;4;1997
2015;Rondônia;11000775;007;Realizada;1;1;Apartamento;2;1;Cedido de outra forma;0;0;4;8;788;1;788
2015;Rondônia;11000937;019;Realizada;2;2;Apartamento;5;2;Alugado;600;0;4;8;1500;2;750
2015;Rondônia;11001011;016;Realizada;4;4;Casa;4;1;Próprio – já pago;0;0;2;8;3500;4;875
2015;Rondônia;11001046;012;Realizada;3;3;Apartamento;5;2;Alugado;1000;0;2;2;11000;3;3666
2015;Rondônia;11001100;006;Realizada;3;2;Casa;4;1;Cedido por empregador;0;0;4;4;1277;3;425
2015;Rondônia;11001119;004;Realizada;4;4;Casa;6;2;Próprio – já pago;0;0;2;6;7788;4;1947
2015;Rondônia;11001127;012;Realizada;2;2;Casa;6;2;Próprio – já pago;0;0;4;4;1588;2;794
2015;Rondônia;11001143;013;Realizada;4;2;Casa;5;2;Próprio – já pago;0;0;2;4;4354;4;1088
2015;Rondônia;11001194;007;Realizada;4;3;Casa;6;2;Próprio – já pago;0;0;4;2;1880;4;470
2015;Rondônia;11001216;001;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;2;6;3688;3;1229
2015;Rondônia;11001216;003;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;4;8;1388;2;694
2015;Rondônia;11001410;019;Realizada;1;1;Casa;7;1;Próprio – já pago;0;0;4;2;788;1;788
2015;Rondônia;11001453;014;Realizada;2;2;Casa;8;1;Próprio – já pago;0;0;4;2;1576;2;788
2015;Rondônia;11001453;015;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;4;6;2388;3;796
2015;Rondônia;11001461;011;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;4;4;1012;3;337
2015;Rondônia;11001585;002;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;4;8;2120;3;706
2015;Rondônia;11001640;004;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;4;4;450;3;150
2015;Acre;12000205;018;Realizada;5;2;Casa;5;1;Próprio – já pago;0;0;4;8;1000;5;200
2015;Acre;12000221;013;Realizada;7;3;Casa;5;3;Próprio – já pago;0;0;4;8;1800;7;257
2015;Acre;12000302;010;Realizada;3;3;Casa;5;2;Cedido por empregador;0;0;4;8;1000;3;333
2015;Acre;12000396;015;Realizada;1;1;Apartamento;4;1;Alugado;800;0;2;4;2100;1;2100
2015;Acre;12000442;013;Realizada;4;3;Casa;5;2;Próprio – já pago;0;0;4;6;2400;4;600
2015;Acre;12000698;008;Realizada;6;5;Casa;5;3;Próprio – já pago;0;0;2;8;1174;6;195
2015;Acre;12000728;010;Realizada;3;2;Casa;1;1;Próprio – já pago;0;0;4;8;1788;3;596
2015;Acre;12000760;005;Realizada;3;2;Casa;2;1;Próprio – já pago;0;0;2;2;925;3;308
2015;Amazonas;13000276;006;Realizada;5;2;Casa;4;2;Próprio – já pago;0;0;4;8;786;5;157
2015;Amazonas;13000365;015;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;2;8;1988;3;662
2015;Amazonas;13000420;004;Realizada;3;3;Casa;4;2;Próprio – já pago;0;0;2;4;2200;3;733
2015;Amazonas;13000420;008;Realizada;1;1;Casa;3;1;Próprio – já pago;0;0;4;8;788;1;788
2015;Amazonas;13000500;009;Realizada;1;1;Casa;3;1;Próprio – já pago;0;0;4;8;1088;1;1088
2015;Amazonas;13000551;001;Realizada;3;3;Casa;6;2;Próprio – já pago;0;0;4;4;2500;3;833
2015;Amazonas;13000896;007;Realizada;3;2;Casa;5;2;Próprio – já pago;0;0;2;2;3414;3;1138
2015;Amazonas;13000969;005;Realizada;5;4;Casa;5;2;Próprio – já pago;0;0;2;2;3390;5;678
2015;Amazonas;13000969;011;Realizada;5;5;Casa;5;3;Próprio – já pago;0;0;2;2;5358;5;1071
2015;Amazonas;13001043;009;Realizada;3;3;Casa;5;1;Alugado;550;0;4;8;1000;3;333
2015;Amazonas;13001086;007;Realizada;3;2;Casa;9;3;Próprio – já pago;0;0;2;2;3000;3;1000
2015;Amazonas;13001140;013;Realizada;6;5;Casa;5;3;Próprio – já pago;0;0;4;8;1588;6;264
2015;Amazonas;13001167;010;Realizada;3;3;Casa;3;1;Cedido de outra forma;0;0;4;8;1100;3;366
2015;Amazonas;13001272;009;Realizada;2;2;Casa;5;2;Próprio – já pago;0;0;2;2;3100;2;1550
2015;Amazonas;13001396;014;Realizada;5;5;Casa;5;2;Próprio – já pago;0;0;2;8;3402;5;680
2015;Amazonas;13001418;005;Realizada;3;3;Casa;5;2;Próprio – já pago;0;0;2;8;2000;3;666
2015;Amazonas;13001485;016;Realizada;5;5;Casa;5;2;Próprio – já pago;0;0;2;2;2000;5;400
2015;Amazonas;13001523;013;Realizada;2;2;Casa;4;2;Próprio – já pago;0;0;2;4;1045;2;522
2015;Amazonas;13001671;002;Realizada;4;2;Casa;4;1;Próprio – já pago;0;0;4;8;1000;4;250
2015;Amazonas;13001671;003;Realizada;3;2;Apartamento;2;1;Alugado;285;0;4;8;1498;3;499
2015;Amazonas;13001671;012;Realizada;3;3;Casa;5;1;Próprio – já pago;0;0;4;8;800;3;266
2015;Amazonas;13001698;014;Realizada;6;4;Casa;3;2;Próprio – já pago;0;0;4;8;1158;6;193
2015;Amazonas;13001787;015;Realizada;2;2;Cômodo;3;1;Alugado;450;0;4;4;2086;2;1043
2015;Amazonas;13001850;017;Realizada;4;4;Casa;5;1;Próprio – já pago;0;0;2;2;3000;4;750
2015;Amazonas;13001892;014;Realizada;4;3;Casa;3;1;Alugado;200;0;4;8;1993;4;498
2015;Amazonas;13002066;016;Realizada;4;3;Casa;5;3;Próprio – já pago;0;0;4;4;1018;4;254
2015;Amazonas;13002090;020;Realizada;5;4;Casa;5;2;Próprio – já pago;0;0;4;8;586;5;117
